ma_sp,ten_sp,danh_muc,gia,ty_le_giam_gia,anh
,Taco Cat Goat Cheese Pizza,Party Game,379000,0,taco_cat_goat_cheese_pizza.png
,Great Western Trail: Argentina,Game Chiến Thuật,2829000,0,great_western_trail_argentina.png
,Harmonies,Party Game,1509000,0,harmonies.png
,Wits and Wagers: Vegas Baby,Party Game,1239000,0,wits_vegas_baby.png
,Agricola: 15th Anniversary Collector’s Box,Game Chiến Thuật,5249000,0,agricola_15th.png
,Legend of the Five Rings: The Card Game,Game Chiến Thuật,369000,0,legend_of_the_five_rings.png
,Clank! In! Space!,Game nhập môn,2275000,0,clank_in_space.png
,Ma Sói Ultimate Extreme,Party Game,759000,0,werewolf_ultimate_extreme.png
,Ticket To Ride - Refresh 2025,Game nhập môn,1945000,0,ticket_to_ride_2025.png

